ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R459,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,4,1,8,8,1,2,Increased,NO,Scrolling through social media,YES,YES
R460,Delhi-NCR,20,7,Good,Laptop/Desktop,2,0,8,4,3,4,Increased,NO,Social Media,NO,NO
R461,Outside Delhi-NCR,19,0,Very poor,Smartphone,5,0.5,7,4,0,3,Remain Constant,NO,Reading books,YES,YES
R462,Outside Delhi-NCR,18,4,Very poor,Smartphone,2,1,12,2,0,3,Remain Constant,NO,Listening to music,YES,NO
R464,Delhi-NCR,18,2,Good,NA,3,1,7,2,1,3,Remain Constant,YES,Online gaming,YES,YES
R465,Outside Delhi-NCR,21,2,Average,NA,4,1,10,8,1,3,Increased,NO,Scrolling through social media,NO,YES
R466,Outside Delhi-NCR,13,4,Good,NA,2,2,8,2,2,2,Decreased,NO,Cooking,YES,YES
R467,Outside Delhi-NCR,22,1,Average,NA,3,3,8,3,3,4,Increased,NO,Sleeping,YES,YES
R468,Delhi-NCR,21,1,Very poor,NA,0,0,8,2,1,3,Remain Constant,NO,Talking to your relatives,YES,YES
R469,Outside Delhi-NCR,21,2,Good,NA,6,0,6.5,0.5,0,3,Increased,NO,Web Series,YES,YES
R470,Delhi-NCR,21,2,Very poor,NA,1,0,13,6,7,2,Decreased,YES,Listening to music,NO,NO
R471,Outside Delhi-NCR,20,5,Good,Laptop/Desktop,7,0,6,1,0,4,Increased,NO,Web Series,YES,YES
R472,Delhi-NCR,20,0,Very poor,Laptop/Desktop,10,4,6,2,0,7,Decreased,NO,Listening to music,YES,YES
R473,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,5,1,9,2,0,4,Increased,NO,Listening to music,NO,YES
R474,Outside Delhi-NCR,19,4,Average,Laptop/Desktop,0,0,8,6,1,3,Increased,NO,Online gaming,NO,YES
R475,Delhi-NCR,19,0,Good,Laptop/Desktop,3,1,8,3,1,3,Increased,NO,Social Media,NO,NO
R476,Delhi-NCR,7,2,Good,Smartphone,2,1,9,1,2,3,Increased,NO,Online gaming,NO,YES
R477,Outside Delhi-NCR,21,2,Average,Laptop/Desktop,0,1,7,3,0,2,Remain Constant,NO,Online gaming,YES,YES
R478,Delhi-NCR,23,4,Very poor,Laptop/Desktop,10,1,7,1,0,2,Decreased,NO,Listening to music,YES,YES
R479,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,0,13,4,0,2,Increased,NO,Scrolling through social media,NO,NO
R480,Delhi-NCR,20,4,Very poor,Smartphone,4,0,8,4,3,3,Remain Constant,NO,Online gaming,YES,YES
R481,Outside Delhi-NCR,19,4,Very poor,Laptop/Desktop,3,1,8,3,2,3,Increased,NO,Meditation,YES,YES
R482,Delhi-NCR,20,4,Very poor,Laptop/Desktop,2,1,8,2,0,3,Increased,NO,Dancing,YES,YES
R483,Outside Delhi-NCR,18,4,Average,Smartphone,1,0,9,4,1,3,Decreased,YES,Online gaming,NO,YES
R484,Delhi-NCR,21,4,Very poor,Tablet,0,3,11,10,0,1,Decreased,NO,Meditation,NO,NO
R485,Outside Delhi-NCR,18,6,Very poor,Laptop/Desktop,6,1,6,1,0.5,5,Remain Constant,YES,Listening to music,YES,YES
R486,Delhi-NCR,21,6,Excellent,Laptop/Desktop,6,1,6,1,0,4,Decreased,NO,Driving,NO,YES
R487,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,3,0,7,3,2,2,Increased,NO,Online surfing,NO,NO
R488,Outside Delhi-NCR,19,0,Average,Laptop/Desktop,1,0.5,8,1,0,3,Increased,NO,Scrolling through social media,NO,YES
R489,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,2,0,8,1,1,3,Remain Constant,YES,Reading books,NO,NO
R490,Delhi-NCR,21,3,Average,Laptop/Desktop,7,3,6,1,0,3,Remain Constant,NO,Meditation,YES,NO
R491,Delhi-NCR,24,2,Poor,Smartphone,6,0,6,3,0.5,4,Decreased,NO,Listening to music,NO,NO
R492,Outside Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,0,8,2,0,1,Remain Constant,NO,Reading books,NO,NO
R493,Outside Delhi-NCR,20,2,Average,Smartphone,2,0,12,4,0,3,Remain Constant,NO,Talking to your relatives,NO,YES
R494,Outside Delhi-NCR,24,5,Average,Laptop/Desktop,2,0,6,3,0,4,Increased,NO,Watching web series,NO,YES
R495,Delhi-NCR,21,5,Average,Laptop/Desktop,6,0,7,2,0.5,3,Increased,NO,Online surfing,YES,YES
R496,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,2,5,3,0,3,Remain Constant,NO,I run,YES,YES
R497,Outside Delhi-NCR,22,5,Very poor,Smartphone,0,1,8,4,0,3,Remain Constant,NO,Online surfing,NO,YES
R498,Outside Delhi-NCR,20,7,Very poor,Laptop/Desktop,0,1,6,2,1,4,Remain Constant,NO,Online gaming,NO,YES
R499,Outside Delhi-NCR,20,0.5,Very poor,Smartphone,3,1,10,3,2,2,Increased,YES,Scrolling through social media,NO,NO
R501,Outside Delhi-NCR,22,0.5,Very poor,Laptop/Desktop,1,1,8,3,0,4,Increased,NO,Online gaming,NO,NO
R502,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,1,0,10,2,0,3,Increased,NO,Online gaming,NO,YES
R503,Outside Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,6,2,0,3,Increased,NO,Online gaming,NO,YES
R504,Outside Delhi-NCR,13,3,Average,Smartphone,2,1,7,2,0,3,Decreased,NO,Dancing,YES,YES
R505,Delhi-NCR,10,4,Average,Smartphone,2,1,8,1,2,3,Remain Constant,NO,Dancing,YES,YES
R506,Outside Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,0,6,1,0,3,Increased,NO,Online surfing,NO,YES
R507,Outside Delhi-NCR,20,2,Very poor,Laptop/Desktop,3,0,11,1,1,3,Remain Constant,NO,Sleeping,NO,NO
R508,Delhi-NCR,22,1,Very poor,Smartphone,2,1,6,2,0,3,Increased,NO,Online surfing,YES,YES
R509,Delhi-NCR,20,4,Average,Laptop/Desktop,0,0,12,2,2,3,Increased,NO,Scrolling through social media,NO,NO
R510,Outside Delhi-NCR,20,0,Poor,Laptop/Desktop,2,0,10,4,0,3,Increased,NO,Online gaming,NO,NO
R511,Delhi-NCR,20,0,Average,Laptop/Desktop,1,1,8,4,0,3,Increased,NO,Sleeping,NO,YES
R512,Outside Delhi-NCR,21,0,Average,Smartphone,4,1,7,2,4,4,Increased,NO,Online gaming,YES,YES
R513,Delhi-NCR,19,4,Very poor,Laptop/Desktop,3,2,8,2,1,4,Remain Constant,NO,Online gaming,YES,YES
R514,Outside Delhi-NCR,13,2,Excellent,Smartphone,2,1,6,6,8,4,Increased,NO,Online gaming,YES,YES
R515,Outside Delhi-NCR,20,2,Average,Laptop/Desktop,3,0,7,5,6,2,Increased,NO,Online gaming,NO,NO
R516,Outside Delhi-NCR,17,2,Average,Smartphone,5,3,5,1,0.5,3,Decreased,NO,Running,NO,YES
R517,Outside Delhi-NCR,11,1,Good,Laptop/Desktop,1,1,15,3,1,4,Increased,NO,Listening to music,YES,YES
R518,Delhi-NCR,17,2,Excellent,Smartphone,3,1,8,3,1,2,Increased,NO,Listening to music,YES,YES
R519,Outside Delhi-NCR,17,1,Average,Smartphone,2,0,8,1,1,2,Decreased,NO,Talking to your relatives,NO,YES
R520,Delhi-NCR,19,4,Very poor,Laptop/Desktop,5,0,8,3,2,3,Increased,NO,Watching web series,NO,YES
R521,Outside Delhi-NCR,20,6,Good,Laptop/Desktop,5,2,6,10,15,3,Remain Constant,NO,Talking,YES,YES
R522,Delhi-NCR,18,3,Good,Laptop/Desktop,4,2,7,2,2,3,Increased,NO,Dancing,YES,YES
R523,Delhi-NCR,20,4,Average,Laptop/Desktop,3,0,8,4,2,4,Increased,NO,Listening to music,NO,YES
R524,Delhi-NCR,19,0,Very poor,Laptop/Desktop,1,0,9,6,0,4,Increased,NO,Sleeping,NO,NO
R525,Delhi-NCR,17,3,Average,Smartphone,3,3,9,2,0,3,Increased,NO,Online gaming,NO,NO
R526,Outside Delhi-NCR,19,0,Very poor,Smartphone,0,1,10,7,1,3,Increased,YES,Online gaming,NO,YES
R527,Outside Delhi-NCR,21,1,Average,Laptop/Desktop,8,2,8,2,1,3,Remain Constant,YES,Online gaming,NO,NO
R528,Outside Delhi-NCR,34,2,Average,Laptop/Desktop,1,0,7,6,6,3,Remain Constant,NO,Listening to music,YES,YES
R529,Outside Delhi-NCR,15,4,Very poor,Smartphone,4,0,7,1,2,3,Increased,NO,Listening to music,NO,NO
R530,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,0,1,12,2,1,3,Decreased,YES,Listening to music,NO,NO
R532,Outside Delhi-NCR,17,6,Average,Smartphone,4,0,7,9,0.5,2,Increased,NO,Scrolling through social media,NO,YES
R533,Delhi-NCR,26,2,Very poor,Laptop/Desktop,1,1,8,4,0,3,Decreased,NO,Scrolling through social media,NO,YES
R534,Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,1,7,0.5,0.5,3,Increased,NO,Reading books,YES,YES
R535,Outside Delhi-NCR,22,3,Average,Laptop/Desktop,6,2,8,4,1,4,Remain Constant,NO,Cooking,YES,YES
R536,Outside Delhi-NCR,20,6,Poor,Laptop/Desktop,2,2,8,1,0,3,Decreased,NO,Listening to music,YES,NO
R537,Outside Delhi-NCR,21,4,Very poor,Laptop/Desktop,2,2,8,4,4,3,Decreased,NO,Watching web series,YES,YES
R538,Outside Delhi-NCR,14,3,Good,Smartphone or Laptop/Desktop,2,0,6,1,1,1,Increased,NO,Listening to music,YES,YES
R539,Outside Delhi-NCR,20,5,Very poor,Laptop/Desktop,6,1,7,2,0,3,Remain Constant,NO,Watching web series,NO,YES
R540,Delhi-NCR,19,2,Excellent,Smartphone,2,1,10,2,1,2,Remain Constant,NO,Sleeping,YES,YES
R541,Delhi-NCR,44,3,Average,Smartphone,4,0,6,1,1,2,Remain Constant,NO,Reading books,YES,YES
R542,Outside Delhi-NCR,20,1,Very poor,Tablet,2,3,8,2,2,2,Decreased,NO,Reading books,YES,YES
R543,Delhi-NCR,22,3,Average,Laptop/Desktop,6,1,6,3,2,3,Remain Constant,NO,Sleeping,NO,YES
R544,Outside Delhi-NCR,21,1,Poor,Smartphone,4,1,8,4,0,3,Remain Constant,NO,Online surfing,YES,YES
R545,Delhi-NCR,20,5,Very poor,Laptop/Desktop,2,0,8,1,2,3,Remain Constant,NO,Online surfing,YES,YES
R546,Delhi-NCR,18,4,Very poor,Tablet,4,0,9,2,2,3,Remain Constant,NO,Watching web series,NO,YES
R547,Outside Delhi-NCR,15,1,Good,Smartphone,2,1,8,1,2,2,Increased,NO,Meditation,NO,YES
R548,Outside Delhi-NCR,19,2,Average,Smartphone,0,0,8,10,1,2,Decreased,NO,Online gaming,NO,YES
R549,Outside Delhi-NCR,24,2,Average,Smartphone,2,0,6,3,0,2,Decreased,NO,Sleeping,NO,NO
R550,Delhi-NCR,16,7,Average,Smartphone,4,1,6,1,0,4,Remain Constant,NO,Listening to music,YES,YES
R551,Outside Delhi-NCR,21,0,Poor,Smartphone,8,0,7,2,0.5,3,Remain Constant,YES,Online surfing,YES,NO
R552,Outside Delhi-NCR,17,4,Good,Smartphone,3,3,6,5,0,4,Decreased,NO,Exercise,YES,YES
R553,Delhi-NCR,15,5,Good,Smartphone,2,1,7,0,0,2,Increased,NO,Online gaming,NO,YES
R554,Outside Delhi-NCR,16,2,Very poor,Smartphone,1,0,9,1,0,3,Decreased,NO,Reading books,NO,YES
R555,Delhi-NCR,21,6,Average,Laptop/Desktop,2,1,7,1.5,1.5,3,Remain Constant,NO,Watching web series,NO,YES
R556,Delhi-NCR,13,2,Excellent,Smartphone,2,1,9,2,1,3,Increased,NO,Scrolling through social media,YES,NO
R557,Delhi-NCR,22,3,Very poor,Smartphone,2,1,9,1,1,4,Remain Constant,YES,Scrolling through social media,NO,YES
R558,Outside Delhi-NCR,15,4,Average,Laptop/Desktop,4,1,11,1,2,5,Remain Constant,NO,Listening to music,YES,YES
R559,Outside Delhi-NCR,26,0.5,Very poor,Smartphone,1,0,6,1,1,3,Decreased,YES,Sleeping,NO,NO
R560,Delhi-NCR,21,0,Very poor,Laptop/Desktop,2,0,10,6,0,2,Remain Constant,NO,Online gaming,NO,YES
R561,Outside Delhi-NCR,13,1,Good,Smartphone,1,1,8,1,2,3,Remain Constant,NO,Listening to music,NO,YES
R562,Delhi-NCR,21,3,Average,Laptop/Desktop,0,2,8,2,2,3,Increased,NO,Online gaming,NO,NO
R563,Outside Delhi-NCR,21,3,Very poor,Smartphone,1,1,8,2,0,3,Increased,NO,Watching web series,YES,YES
R564,Delhi-NCR,17,2,Average,Smartphone,1,1,8,7,0,4,Increased,NO,Watching web series,NO,YES
R565,Delhi-NCR,20,1,Good,Smartphone,3,1,8,3,1,4,Remain Constant,NO,Reading,NO,YES
R566,Delhi-NCR,18,3,Good,Smartphone,2,0,8,1,1,3,Decreased,NO,Listening to music,YES,NO
R567,Delhi-NCR,19,2,Very poor,Laptop/Desktop,8,0,8,1,0,4,Decreased,YES,Sleeping,NO,NO
R568,Delhi-NCR,21,4,Average,Laptop/Desktop,4,1,8,3,1,3,Increased,NO,Listening to music,NO,NO
R569,Delhi-NCR,20,8,Excellent,Smartphone,8,1,7,2,1,4,Increased,NO,Watching web series,YES,YES
R570,Delhi-NCR,21,8,Good,Laptop/Desktop,2,1,7,1,0,3,Remain Constant,NO,Talking,YES,YES
R571,Outside Delhi-NCR,32,2,Good,Smartphone,0,0,11,1,3,4,Remain Constant,NO,Meditation,NO,NO
R572,Delhi-NCR,19,4,Good,Laptop/Desktop,4,2,8,6,6,3,Increased,NO,Meditation,NO,YES
R573,Delhi-NCR,18,2,Very poor,Smartphone,0,3,8,1,0,3,Increased,NO,Exercising,NO,YES
R575,Delhi-NCR,18,0,Very poor,Smartphone,0,0,7,3,2,4,Remain Constant,YES,Scrolling through social media,NO,YES
R576,Delhi-NCR,19,2,Very poor,Laptop/Desktop,1,2,8,3,2,4,Increased,NO,Sleeping,YES,NO
R577,Delhi-NCR,19,2,Very poor,Smartphone,2,0,8,1.5,1,2,Decreased,NO,Watching web series,NO,YES
R578,Outside Delhi-NCR,19,3,Excellent,Laptop/Desktop,0,0,9,6,0,2,Remain Constant,YES,Meditation,YES,YES
R579,Delhi-NCR,23,4,Very poor,Smartphone,4,1,8,2,2,2,Increased,NO,Cooking,NO,YES
R581,Delhi-NCR,22,4,Very poor,Laptop/Desktop,1,0,9,1,1,4,Remain Constant,NO,Listening to music,YES,YES
R582,Delhi-NCR,12,6,Good,Tablet,4,0,7,1,2,4,Increased,NO,Online gaming,NO,YES
R583,Delhi-NCR,8,2,Excellent,Laptop/Desktop,1,1,5,1,1,2,Remain Constant,NO,Sleeping,YES,YES
R584,Delhi-NCR,17,0.75,Excellent,Smartphone,4,1,7,1,0.3,2,Decreased,NO,Sleeping,YES,YES
R585,Delhi-NCR,21,3,Excellent,Laptop/Desktop,1,0,11,3,2,1,Remain Constant,NO,Reading books,YES,NO
R586,Delhi-NCR,14,3,Average,Smartphone,2,2,7,2,2,3,Remain Constant,NO,Online gaming,YES,NO
R587,Outside Delhi-NCR,20,4,Very poor,Smartphone,3,0,8,1,0,1,Increased,NO,Scrolling through social media,NO,YES
R588,Delhi-NCR,22,0,Very poor,Smartphone,2,1,6,0.5,0,1,Decreased,NO,Talking to your relatives,YES,YES
R589,Delhi-NCR,13,6,Average,Tablet,3,1,10,1,6,3,Remain Constant,NO,Talking to your relatives,YES,YES
R590,Delhi-NCR,21,2,Very poor,Smartphone,0.5,1,8,1,0,4,Increased,NO,Listening to music,YES,YES
R591,Delhi-NCR,36,3,Excellent,Laptop/Desktop,2,0,8,2,0,3,Remain Constant,NO,Reading books,NO,YES
R592,Delhi-NCR,13,4,Good,Any Gadget,3,1,9,3,2,2,Decreased,NO,Cooking,YES,YES
R593,Outside Delhi-NCR,24,2,Average,Smartphone,1,1,7,4,0,3,Remain Constant,NO,Football,YES,YES
R594,Outside Delhi-NCR,46,2,Very poor,Smartphone,0.5,0.25,7,1,1,3,Remain Constant,NO,Cooking,NO,NO
R595,Delhi-NCR,16,5,Good,Laptop/Desktop,8,0.5,6,0.4,0,3,Remain Constant,NO,Online gaming,YES,NO
R596,Delhi-NCR,25,2,Good,Laptop/Desktop,3,0,7,2,3,2,Remain Constant,NO,Talking,YES,YES
R597,Delhi-NCR,24,6,Good,Laptop/Desktop,8,0,9,2,0,3,Decreased,YES,Reading,YES,YES
R598,Delhi-NCR,17,4,Very poor,Smartphone,2,0,10,3,4,2,Remain Constant,NO,Online surfing,YES,YES
R599,Delhi-NCR,16,1,Average,Smartphone,2,0,10,2,3,4,Remain Constant,NO,Online gaming,NO,YES
R600,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,1,8,3,1,4,Increased,NO,Online surfing,YES,YES
R601,Delhi-NCR,40,5,Very poor,Laptop/Desktop,3,0,6,3,0,3,Increased,YES,Sleeping,YES,YES
R602,Outside Delhi-NCR,32,1,Average,Laptop/Desktop,2,0.5,7,3,0,3,Increased,YES,Scrolling through social media,NO,YES
R603,Outside Delhi-NCR,14,5,Average,Smartphone,2,0,9,1,2,2,Remain Constant,NO,Online gaming,YES,YES
R604,Delhi-NCR,18,4,Average,Laptop/Desktop,2,3,7,4,1,2,Decreased,NO,Online surfing,NO,NO
R605,Delhi-NCR,52,0,Good,Laptop/Desktop,2,1,8,2,0,4,Remain Constant,NO,Reading,YES,YES
R606,Delhi-NCR,21,1,Very poor,Laptop/Desktop,8,0,8,2,2,2,Decreased,YES,Scrolling through social media,YES,NO
R608,Delhi-NCR,21,6,Very poor,Laptop/Desktop,3,0,8,4,1,3,Increased,YES,Listening to music,NO,NO
R609,Delhi-NCR,21,4,Average,Laptop/Desktop,3,0,8,2,1,3,Decreased,NO,Scrolling through social media,NO,NO
R610,Delhi-NCR,22,1,Very poor,Laptop/Desktop,10,2,7,1,0,3,Remain Constant,NO,Writing,YES,YES
R611,Delhi-NCR,19,0,Very poor,Smartphone,4,0,8,4,0,1,Increased,NO,Reading books,NO,NO
R612,Outside Delhi-NCR,14,4,Good,Smartphone,1,1,8,1,0.5,2,Increased,NO,Social Media,YES,NO
R613,Delhi-NCR,18,1,Average,Smartphone,2,0,7,1,0,3,Decreased,YES,Cooking,NO,YES
R614,Delhi-NCR,17,2,Excellent,Smartphone,3,2,10,1,1,2,Increased,NO,Watching web series,YES,YES
R615,Delhi-NCR,21,2,Average,Laptop/Desktop,0,0,7,5,0,3,Decreased,NO,Online gaming,NO,YES
R616,Delhi-NCR,22,2,Very poor,Laptop/Desktop,2,0,6,5,0,2,Increased,NO,Online surfing,YES,YES
R617,Outside Delhi-NCR,15,3,Very poor,Smartphone,2,0,10,1,2,2,Increased,NO,Online surfing,NO,YES
R618,Delhi-NCR,25,6,Good,Laptop/Desktop,0,1,7,3,0,2,Increased,NO,Web Series,NO,YES
R619,Outside Delhi-NCR,17,2,Excellent,Smartphone,3,1,8,1,2,1,Increased,NO,Sleeping,YES,YES
R620,Outside Delhi-NCR,25,1,Average,Laptop/Desktop,4,0.5,9,2,5,3,Increased,NO,Online surfing,NO,YES
R621,Delhi-NCR,22,1,Very poor,Smartphone,0,0,6,2,2,3,Increased,YES,Watching web series,NO,NO
R622,Outside Delhi-NCR,21,0,Very poor,Smartphone,3,0,8,4,1,3,Remain Constant,YES,Scrolling through social media,NO,YES
R623,Outside Delhi-NCR,20,1,Good,Laptop/Desktop,3,1,12,3,2,4,Remain Constant,NO,Reading,YES,YES
R624,Outside Delhi-NCR,21,2,Good,Smartphone,5,0,12,3,0,4,Remain Constant,NO,Listening to music,NO,NO
R625,Delhi-NCR,13,3.5,Good,Smartphone,2,2,9,1,6,1,Increased,YES,Listening to music,YES,YES
R626,Delhi-NCR,32,6,Good,Laptop/Desktop,2,1,5,2,2,2,Increased,NO,Dancing,YES,YES
R627,Delhi-NCR,34,2,Average,Laptop/Desktop,2,1,7,4,2,2,Remain Constant,NO,Cooking,NO,NO
R628,Delhi-NCR,22,0,Very poor,Smartphone,1,0,8,5,1.5,3,Remain Constant,NO,Reading books,NO,NO
R629,Outside Delhi-NCR,21,4,Average,Laptop/Desktop,4,1,6,1,1,3,Remain Constant,YES,Meditation,YES,NO
R630,Delhi-NCR,17,1,Good,Smartphone,1,1,8,2,1,3,Increased,NO,Web Series,NO,YES
R631,Delhi-NCR,13,4,Excellent,Smartphone,5,1,13,2,3,2,Decreased,YES,Reading books,YES,YES
R632,Delhi-NCR,30,4,Average,Laptop/Desktop,3,1,7,1,1,3,Remain Constant,NO,singing,NO,NO
R633,Delhi-NCR,21,2,Average,Smartphone,1,1,9,2,2,3,Remain Constant,NO,Watching web series,NO,YES
R634,Outside Delhi-NCR,28,3,Good,Laptop/Desktop,4,1,9,2,0,3,Remain Constant,NO,Listening to music,YES,YES
R635,Delhi-NCR,21,4,Very poor,Laptop/Desktop,3,0,6,2,0,2,Remain Constant,NO,Online gaming,NO,NO
R636,Outside Delhi-NCR,15,2,Excellent,Smartphone,5,3,11,1,1,4,Increased,NO,Reading books,NO,YES
R637,Delhi-NCR,16,1,Good,Smartphone,1,1,7,2,2,2,Remain Constant,NO,Online gaming,YES,YES
R638,Delhi-NCR,40,3,Average,Smartphone,1,0.5,7,4,1,3,Remain Constant,NO,Talking to your relatives,YES,YES
R639,Delhi-NCR,43,2,Good,Laptop/Desktop,2,1,7,1,1,2,Remain Constant,NO,Sleeping,YES,YES
R640,Delhi-NCR,25,1,Average,Smartphone,2,0,10,1,1,3,Increased,NO,Cooking,NO,YES
R642,Outside Delhi-NCR,16,2,Good,NA,5,1,9,1,1,1,Decreased,NO,Reading,YES,NO
R643,Delhi-NCR,16,0.8,Very poor,NA,1,0,8,1,1,3,Remain Constant,NO,Listening to music,NO,YES
R644,Delhi-NCR,34,2,Good,NA,1,1,9,2,1,3,Increased,NO,Talking,YES,YES
R645,Outside Delhi-NCR,28,2,Excellent,NA,2,1,7,1,1,2,Decreased,NO,Scrolling through social media,YES,YES
R646,Outside Delhi-NCR,17,0.75,Good,Smartphone,2,2,6,1,1,3,Increased,NO,Exercise,YES,YES
R647,Outside Delhi-NCR,18,0.75,Good,Smartphone,1,1,12,1,1,3,Increased,NO,Exercise,YES,YES
R648,Outside Delhi-NCR,17,0.75,Good,Smartphone,2,1,12,1,1,3,Increased,NO,Exercise,YES,YES
R649,Delhi-NCR,30,4,Excellent,Laptop/Desktop,4,0,5,6,1,2,Remain Constant,NO,Watching web series,YES,YES
R650,Delhi-NCR,19,4,Average,Laptop/Desktop,4,1,8,0,0,2,Increased,NO,Online gaming,NO,NO
R651,Delhi-NCR,21,0,Very poor,Smartphone,2,0,10,2,0,3,Remain Constant,NO,Watching web series,NO,NO
R652,Outside Delhi-NCR,20,4,Good,Laptop/Desktop,6,0,8,3,0,3,Increased,NO,Online gaming,YES,YES
R653,Delhi-NCR,19,5,Very poor,Smartphone,1,1,5,2,4,3,Increased,NO,Listening to music,NO,YES
R654,Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,8,3,0,3,Remain Constant,NO,Dancing,NO,YES
R655,Delhi-NCR,19,0,Very poor,Smartphone,0,0,12,4,6,3,Decreased,NO,Watching web series,NO,NO
R656,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,2,1,7,1,0,3,Decreased,YES,Exercising,NO,YES
R657,Delhi-NCR,19,4,Very poor,Smartphone,5,0,6,2,0,3,Increased,NO,Reading books,YES,YES
R658,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,3,0,8,4,2,4,Increased,YES,Meditation,NO,NO
R659,Outside Delhi-NCR,19,2,Very poor,Laptop/Desktop,2,1,9,1,0,2,Decreased,YES,Listening to music,YES,YES
R660,Delhi-NCR,21,6,Very poor,Smartphone,4,1,7,2,0,4,Increased,NO,Scrolling through social media,NO,NO
R661,Delhi-NCR,20,4,Very poor,Smartphone,3,0,8,3,0,3,Remain Constant,NO,Online gaming,NO,NO
R662,Delhi-NCR,20,4,Very poor,Laptop/Desktop,4,1,7,1,2,4,Remain Constant,NO,Sleeping,NO,YES
R663,Delhi-NCR,20,5,Average,Laptop/Desktop,0.5,0,8,1,0.5,3,Remain Constant,NO,Scrolling through social media,NO,YES
R664,Delhi-NCR,20,5,Very poor,Smartphone,2,1,7,1,0,5,Increased,NO,Cardio,YES,YES
R665,Outside Delhi-NCR,22,6,Average,Smartphone,2,1,11,6,2,4,Increased,YES,Watching web series,NO,NO
R666,Delhi-NCR,22,3,Very poor,Laptop/Desktop,2,0,9,4,1,4,Increased,NO,Online gaming,NO,YES
R667,Delhi-NCR,21,1,Average,Smartphone,1,2,8,2,0.5,3,Decreased,NO,Online gaming,NO,YES
R668,Delhi-NCR,30,2,Very poor,Laptop/Desktop,1,1,5,1,0,3,Remain Constant,NO,Talking to your relatives,YES,YES
R669,Delhi-NCR,21,2,Very poor,Laptop/Desktop,2,0,6,3,0,3,Remain Constant,NO,Online surfing,NO,NO
R670,Delhi-NCR,22,3,Average,Laptop/Desktop,3,1,8,3,0,2,Decreased,NO,Dancing,YES,NO
R671,Outside Delhi-NCR,21,4,Good,Smartphone,3,1,8,3,3,3,Increased,NO,Online gaming,YES,YES
R672,Outside Delhi-NCR,21,5,Very poor,Smartphone,1,0.5,9,1.5,0,3,Remain Constant,NO,Scrolling through social media,NO,NO
R673,Outside Delhi-NCR,19,5,Good,Laptop/Desktop,3,0,9,5,1,3,Remain Constant,NO,Online gaming,YES,YES
R674,Delhi-NCR,22,1,Very poor,Laptop/Desktop,2,1,9,1.5,0.5,3,Remain Constant,YES,Watching web series,NO,NO
R675,Delhi-NCR,20,6,Average,Laptop/Desktop,2,1,8,4,0,2,Remain Constant,NO,Online gaming,NO,NO
R676,Delhi-NCR,21,3,Excellent,Laptop/Desktop,6.5,0,7,0.5,0,3,Remain Constant,NO,Listening to music,YES,NO
R678,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,2,1,7,2,1,3,Decreased,NO,Online surfing,YES,YES
R679,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,4,1,8,1,0,4,Remain Constant,NO,Scrolling through social media,YES,NO
R680,Outside Delhi-NCR,21,5,Good,Laptop/Desktop,4,2,8,1,0,4,Decreased,YES,Cooking,NO,NO
R681,Delhi-NCR,22,0,Very poor,Smartphone,0.5,1,10,1,0,3,Increased,NO,Online gaming,NO,YES
R682,Delhi-NCR,20,0,Very poor,Laptop/Desktop,0,0,10,10,0,3,Increased,NO,Online gaming,NO,YES
R683,Delhi-NCR,20,3,Good,Laptop/Desktop,3,1,7,2,1,2,Remain Constant,NO,Online gaming,YES,YES
R684,Delhi-NCR,18,2,Average,Smartphone,1,1,10,4,1,4,Increased,NO,Online gaming,NO,NO
R685,Delhi-NCR,19,0,Average,Laptop/Desktop,3,1,9,2,0,2,Remain Constant,NO,Online gaming,NO,NO
R686,Delhi-NCR,21,3,Average,Laptop/Desktop,4,1,7,1,2,4,Decreased,NO,Meditation,NO,YES
R687,Outside Delhi-NCR,19,4,Poor,Laptop/Desktop,5,2,7,0.5,0,4,Remain Constant,YES,Listening to music,YES,YES
R688,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,3,0,7,4,0,3,Increased,NO,Listening to music,NO,NO
R689,Delhi-NCR,21,7,Very poor,Laptop/Desktop,0,0,8,3,0,3,Remain Constant,NO,Online surfing,YES,NO
