ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R75,Delhi-NCR,18,3,Very poor,Smartphone,2,2,8,8,0,4,Remain Constant,NO,Listening to music,NO,YES
R76,Outside Delhi-NCR,19,3,Average,Smartphone,5,0,5,4,0,2,Increased,YES,Listening to music,YES,NO
R77,Delhi-NCR,19,0,Very poor,Smartphone,1,1,8,2,0,3,Decreased,NO,Listening to music,YES,YES
R78,Delhi-NCR,20,3,Average,Laptop/Desktop,3,0,10,10,4.5,3,Increased,NO,Scrolling through social media,NO,NO
R79,Delhi-NCR,20,3,Excellent,Laptop/Desktop,0,1,8,5,1,3,Increased,NO,Online surfing,NO,YES
R80,Delhi-NCR,19,1,Good,Laptop/Desktop,4,0,8,2,0,4,Increased,NO,Web Series,YES,YES
R81,Delhi-NCR,21,5,Average,Laptop/Desktop,5,0,8,7,1,2,Increased,YES,Scrolling through social media,NO,YES
R82,Delhi-NCR,21,3,Good,Smartphone,2,1,10,1,0,3,Remain Constant,NO,Online gaming,NO,NO
R83,Delhi-NCR,19,2,Very poor,Smartphone,2,0.5,9,3,1,2,Increased,NO,Online gaming,YES,YES
R84,Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,1,12,2,2,2,Increased,NO,Online gaming,NO,YES
R85,Outside Delhi-NCR,21,1,Poor,Smartphone,8,0,10,1,0,3,Decreased,NO,Sleep,YES,YES
R86,Delhi-NCR,19,2,Very poor,Tablet,2,1,8,5,0,4,Decreased,NO,Scrolling through social media,NO,YES
R87,Delhi-NCR,20,5,Average,Smartphone,3,1,7,1.5,0,3,Increased,YES,drawing ,YES,YES
R88,Outside Delhi-NCR,21,4,Very poor,Smartphone,3,1,8,1,0,3,Decreased,NO,Meditation,NO,NO
R89,Delhi-NCR,18,3,Very poor,Smartphone,4,1,7,1,0,4,Remain Constant,YES,Listening to music,NO,NO
R90,Outside Delhi-NCR,19,4,Average,Smartphone,3,1,7,3,2,3,Increased,NO,Listening to music,YES,YES
R91,Outside Delhi-NCR,25,4,Very poor,Smartphone,3,1,7,1,0,3,Remain Constant,YES,Cricket,NO,NO
R92,Delhi-NCR,19,0,Very poor,Smartphone,4,1,8,1,0,3,Increased,NO,Listening to music,NO,YES
R93,Delhi-NCR,19,4,Very poor,Laptop/Desktop,0,0,8,2,1.5,3,Increased,YES,Anime Manga,NO,NO
R94,Delhi-NCR,20,4,Good,Smartphone,2,2,8,6,0,3,Decreased,NO,Sleeping,YES,YES
R95,Delhi-NCR,20,2,Average,Smartphone,3,1,5,4,1,3,Increased,NO,Listening to music,NO,YES
R96,Delhi-NCR,19,5,Good,Tablet,3,1,8,2,0,2,Remain Constant,NO,Reading,NO,YES
R97,Delhi-NCR,19,3,Average,Smartphone,1,0,10,4,0,3,Remain Constant,NO,Listening to music,NO,YES
R98,Delhi-NCR,22,2,Average,Smartphone,0,0,12,4,2,3,Increased,NO,Online gaming,NO,YES
R99,Outside Delhi-NCR,21,1,Good,Smartphone,3,2,10,1,2,4,Increased,YES,Meditation,NO,YES
R100,Delhi-NCR,21,1,Very poor,Smartphone,2,1,8,1,0,3,Increased,NO,Listening to music,NO,NO
R101,Outside Delhi-NCR,16,6,Poor,Smartphone,2,2,7,2,1,3,Remain Constant,NO,Scrolling through social media,YES,YES
R102,Outside Delhi-NCR,21,3,Average,Laptop/Desktop,5,0,8,7,1,2,Remain Constant,NO,Watching web series,NO,YES
R103,Outside Delhi-NCR,21,4,Very poor,Smartphone,4,1,7,1,0,4,Decreased,YES,Listening to music,YES,NO
R104,Outside Delhi-NCR,16,3,Very poor,Smartphone,3,1,7,3,1,2,Remain Constant,NO,Listening to music,NO,NO
R105,Delhi-NCR,21,2,Very poor,Smartphone,7,2,8,0.5,0,5,Increased,NO,Reading books,YES,YES
R106,Outside Delhi-NCR,23,4,Excellent,Laptop/Desktop,6,1,8,0.3,0,3,Increased,NO,Talking to your relatives,YES,NO
R107,Delhi-NCR,19,2,Very poor,Smartphone,1.5,1,7,2,0,2,Remain Constant,NO,Listening to music,NO,NO
R108,Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,1,0,3,Increased,NO,Listening to music,NO,NO
R109,Delhi-NCR,18,2,Very poor,Smartphone,3,1,8,1,1,3,Decreased,NO,Listening to music,YES,YES
R110,Outside Delhi-NCR,10,3,Good,Tablet,3,0,10,1,4,3,Remain Constant,NO,Online gaming,YES,NO
R111,Outside Delhi-NCR,20,0,Very poor,Smartphone,2,2,8,0.15,0.3,2,Decreased,NO,Talking to your relatives,YES,YES
R112,Delhi-NCR,21,3,Average,Smartphone,3,0,11,2,0,2,Increased,YES,Sleep,NO,YES
R113,Delhi-NCR,19,1,Very poor,Smartphone,4,1,8,1,0,4,Remain Constant,NO,Sleep,NO,YES
R114,Outside Delhi-NCR,14,5,Average,Laptop/Desktop,4,1,7,4,1,5,Increased,NO,Scrolling through social media,NO,NO
R115,Delhi-NCR,18,2,Very poor,Smartphone,3,1,10,2,0,3,Remain Constant,NO,Online gaming,NO,YES
R116,Delhi-NCR,18,3,Very poor,Smartphone,6,0,7,3,1,3,Remain Constant,NO,Reading books,YES,NO
R117,Outside Delhi-NCR,24,4,Excellent,Laptop/Desktop,8,1,8,2,2,3,Increased,NO,Online surfing,YES,YES
R118,Outside Delhi-NCR,14,3,Good,Smartphone,5,1,12,0.3,1,3,Remain Constant,NO,Sleeping,YES,YES
R119,Outside Delhi-NCR,21,4,Good,Laptop/Desktop,2,2,7,2,1,3,Increased,NO,Dancing,YES,YES
R120,Delhi-NCR,19,2,Average,Smartphone,6,1,6,1,0,3,Increased,NO,Watching web series,NO,YES
R121,Delhi-NCR,18,2.5,Average,Smartphone,2,1,8,1,0,4,Remain Constant,NO,Listening to music,NO,YES
R122,Outside Delhi-NCR,23,6,Average,Laptop/Desktop,5,1,6,1,0,3,Remain Constant,NO,Meditation,YES,YES
R123,Outside Delhi-NCR,21,4,Average,Smartphone,4,1,8,1,0,3,Remain Constant,NO,Meditation,YES,YES
R124,Delhi-NCR,18,5,Very poor,Smartphone,3,0,9,7,0,3,Increased,NO,Watching web series,YES,NO
R125,Delhi-NCR,19,1,Very poor,Smartphone,2,0,7,1,0,2,Increased,YES,Sleep,NO,NO
R126,Outside Delhi-NCR,20,5,Average,Smartphone,4,1,7,2,1,3,Increased,NO,Meditation,YES,YES
R127,Delhi-NCR,20,2,Average,Smartphone,3,0.5,6.5,1,0.5,3,Remain Constant,NO,Listening to music,YES,YES
R128,Delhi-NCR,19,2,Very poor,Smartphone,4,1,8,2,0,4,Decreased,NO,Sketching and writing,NO,NO
R129,Outside Delhi-NCR,15,1,Good,Smartphone,3,1,6,4,1.5,4,Increased,NO,Listening to music,YES,YES
R131,Outside Delhi-NCR,20,3,Very poor,Smartphone,3,0,9,2,2,2,Decreased,NO,Meditation,YES,YES
R132,Delhi-NCR,17,6,Average,Laptop/Desktop,4,1,8,1,1,2,Remain Constant,NO,Listening to music,NO,YES
R133,Delhi-NCR,18,2,Very poor,Smartphone,2,1,9,2,2,2,Increased,NO,Watching web series,YES,YES
R134,Delhi-NCR,20,2,Very poor,Smartphone,4,0,10,4,2,3,Decreased,NO,Cooking,NO,YES
R135,Delhi-NCR,18,5,Average,Smartphone,1,1,8,1,0,4,Increased,NO,Sleep,YES,YES
R136,Delhi-NCR,22,0.1,Poor,Smartphone,2.5,1,12,0.3,0,5,Increased,NO,Online gaming,NO,YES
R137,Delhi-NCR,18,3,Very poor,Smartphone,5,1,7,2,0,3,Remain Constant,NO,Online gaming,NO,YES
R138,Delhi-NCR,15,4,Average,Smartphone,2,0.5,6,1,1,3,Remain Constant,NO,Dancing,NO,YES
R139,Outside Delhi-NCR,22,1,Very poor,Laptop/Desktop,10,1,7,1,0,3,Remain Constant,NO,Writing,YES,YES
R140,Delhi-NCR,19,3,Very poor,Laptop/Desktop,2,1,9,1,0,3,Decreased,NO,Online gaming,NO,YES
R141,Delhi-NCR,20,3,Very poor,Smartphone,5,0,7,2,1,2,Remain Constant,YES,Watching web series,YES,YES
R142,Outside Delhi-NCR,20,3,Very poor,Smartphone,3,0,9,2,2,2,Decreased,NO,Meditation,YES,YES
R143,Delhi-NCR,20,1,Very poor,Smartphone,1,0,6,0,0,2,Increased,NO,Sleep,YES,YES
R144,Delhi-NCR,18,2,Poor,Smartphone,6,1,7,1,1,2,Increased,NO,Listening to music,YES,YES
R145,Delhi-NCR,19,2,Very poor,Smartphone,2,2,8,2,3,2,Increased,NO,Watching web series,YES,YES
R146,Outside Delhi-NCR,14,4,Average,Smartphone,2,1,8,2,1,3,Remain Constant,NO,Listening to music,YES,NO
R147,Delhi-NCR,20,6,Average,Laptop/Desktop,1,1,6,1,0,3,Increased,YES,Talking to your relatives,YES,YES
R148,Delhi-NCR,20,3,Average,Laptop/Desktop,2,1,8,2,2,3,Remain Constant,NO,Listening to music,NO,NO
R149,Delhi-NCR,19,6,Very poor,Smartphone,3,0,7,2,0.5,2,Increased,YES,Online gaming,NO,YES
R150,Delhi-NCR,19,1,Average,Laptop/Desktop,1,1,10,1,0,3,Remain Constant,NO,Listening to music,YES,YES
R151,Delhi-NCR,18,2,Very poor,Smartphone,2,1,10,2,0,3,Remain Constant,NO,Listening to music,NO,NO
R152,Outside Delhi-NCR,21,4,Very poor,Smartphone,4,1,8,2,0,3,Increased,NO,Sleep,NO,YES
R153,Outside Delhi-NCR,15,4,Average,Smartphone,7,2,6,1,1,4,Remain Constant,NO,Listening to music,YES,YES
R154,Delhi-NCR,20,5,Very poor,Tablet,3,1,8,2,3,4,Increased,NO,Listening to music,NO,NO
R155,Outside Delhi-NCR,21,1,Very poor,Smartphone,3,0,6,1,1,1,Decreased,YES,Reading books,NO,YES
R156,Delhi-NCR,19,0.5,Very poor,Smartphone,7,2,7,0.1,0,4,Remain Constant,YES,Listening to music,YES,YES
R157,Delhi-NCR,20,3,Very poor,Laptop/Desktop,1,0,6,2,0,2,Increased,NO,pubg,NO,YES
R158,Delhi-NCR,21,5,Average,Smartphone,1,0,5,1,0,2,Decreased,NO,Online gaming,NO,NO
R159,Delhi-NCR,21,4,Excellent,Laptop/Desktop,6,2,6,1,1,3,Remain Constant,NO,Cooking,YES,YES
R160,Delhi-NCR,21,3,Very poor,Smartphone,2,0,7,2,0,3,Increased,YES,Reading books,NO,YES
R161,Delhi-NCR,20,4,Average,Laptop/Desktop,2,0,7,2,4,3,Increased,NO,Online gaming,NO,NO
R162,Outside Delhi-NCR,20,6,Very poor,Smartphone,3,0,8,4,2,3,Increased,YES,Sleep,NO,YES
R163,Outside Delhi-NCR,23,0,Very poor,Laptop/Desktop,1,0,10,4,0,4,Increased,NO,Online gaming,NO,YES
R164,Outside Delhi-NCR,21,4,Very poor,Smartphone,3,1,8,1,1,3,Remain Constant,YES,Online surfing,NO,YES
R165,Delhi-NCR,22,1,Very poor,Smartphone,4,1,7,2,0,2,Increased,YES,Watching web series,NO,NO
R166,Delhi-NCR,23,3,Good,Tablet,0,0,12,4,0,2,Increased,NO,Cooking,NO,NO
R167,Delhi-NCR,22,4,Good,Smartphone,4,0.5,8,2,0,3,Increased,NO,Sleeping,YES,NO
R168,Outside Delhi-NCR,21,0,Very poor,Smartphone,1,0,7,10,0,7,Increased,NO,Listening to music,NO,YES
R169,Outside Delhi-NCR,20,0,Very poor,Smartphone,3,2,12,1,0,3,Increased,NO,Scrolling through social media,NO,NO
R170,Outside Delhi-NCR,15,4,Average,Smartphone,2,3,7,1,2,4,Increased,NO,Online gaming,NO,YES
R171,Outside Delhi-NCR,20,0,Very poor,Smartphone,3,2,8,2,1,3,Remain Constant,YES,Listening to music,YES,YES
R172,Outside Delhi-NCR,20,0,Very poor,Smartphone,1,0,8,0.5,1,3,Decreased,YES,Reading books,NO,YES
R173,Outside Delhi-NCR,16,4,Excellent,Laptop/Desktop,3,2,10,1,1,3,Increased,NO,Online gaming,YES,YES
R174,Outside Delhi-NCR,22,1,Average,Smartphone,3,1,7,1,0,3,Remain Constant,NO,Sleep,NO,YES
R175,Delhi-NCR,20,5,Average,Laptop/Desktop,4,0,10,2,4,3,Decreased,NO,Sleep,YES,YES
R176,Outside Delhi-NCR,21,0,Good,Smartphone,4,1,8,2,0,2,Decreased,YES,Online gaming,YES,YES
R177,Outside Delhi-NCR,34,3,Good,Laptop/Desktop,3,1,7,1,2,3,Remain Constant,NO,Sleeping,YES,YES
R178,Outside Delhi-NCR,22,0,Average,Laptop/Desktop,3,1,9,0,2,5,Decreased,NO,Watching web series,NO,YES
R179,Delhi-NCR,22,6,Good,Laptop/Desktop,2,1,8,4,0,4,Remain Constant,NO,Online gaming,NO,YES
R180,Outside Delhi-NCR,21,1,Average,Laptop/Desktop,1,2,7,2,1,4,Increased,NO,Listening to music,NO,YES
R181,Outside Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,3,0,3,Remain Constant,NO,Watching web series,YES,NO
R182,Outside Delhi-NCR,21,3,Average,Smartphone,0.5,3,6,2,0,3,Remain Constant,NO,Online gaming,YES,YES
R183,Outside Delhi-NCR,19,2,Very poor,Smartphone,2,1,8,2,2,3,Increased,YES,Listening to music,YES,YES
R184,Outside Delhi-NCR,22,1,Very poor,Smartphone,7,0,7,1,0,3,Remain Constant,NO,Talking to your relatives,YES,YES
R185,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,1.5,1,6,2,1.5,2,Decreased,YES,Watching web series,NO,NO
R186,Outside Delhi-NCR,14,4,Very poor,Smartphone,1,0,9,1.5,5,3,Remain Constant,NO,Reading books,NO,YES
R187,Delhi-NCR,22,1,Average,Smartphone,4,0.5,11,1,0,3,Remain Constant,YES,Listening to music,NO,NO
R188,Outside Delhi-NCR,22,2,Average,Laptop/Desktop,5,0,8,3,1,3,Increased,NO,Listening to music,YES,YES
R189,Delhi-NCR,19,2,Poor,Smartphone,10,0.25,8,2,0,3,Increased,NO,Talking to your relatives,YES,YES
R190,Outside Delhi-NCR,21,1,Average,Smartphone,0,1,6,2,0,2,Decreased,NO,Online gaming,NO,YES
R191,Outside Delhi-NCR,15,5,Average,Smartphone,5,0,7,3,2,3,Remain Constant,NO,Watching web series,NO,YES
R192,Outside Delhi-NCR,21,3,Good,Laptop/Desktop,3,0.5,8,4,0,3,Remain Constant,NO,Web Series,NO,YES
R193,Delhi-NCR,21,3,Very poor,Smartphone,8,3,7,3,0,3,Decreased,YES,Talking to your relatives,NO,NO
R194,Outside Delhi-NCR,34,3,Average,Laptop/Desktop,3,1,8,1,1,3,Remain Constant,NO,Talking to your relatives,YES,YES
R195,Outside Delhi-NCR,22,3,Very poor,Laptop/Desktop,0,5,8,10,0,3,Remain Constant,NO,Talking to your relatives,NO,YES
R196,Outside Delhi-NCR,34,1.5,Poor,Laptop/Desktop,1,0,6,1,0,2,Remain Constant,YES,Online surfing,NO,NO
R197,Delhi-NCR,21,4,Good,Laptop/Desktop,4,1,7,2,2,3,Remain Constant,NO,Talking,YES,YES
R198,Outside Delhi-NCR,20,3,Average,Laptop/Desktop,3,1,7,1,0,3,Remain Constant,NO,Listening to music,YES,YES
R199,Outside Delhi-NCR,20,3,Very poor,Laptop/Desktop,5,0,7.5,2,0.5,4,Increased,NO,Sleep,YES,NO
R200,Outside Delhi-NCR,25,2,Very poor,Laptop/Desktop,3,1,8,4,1,2,Increased,NO,Watching web series,NO,NO
R201,Outside Delhi-NCR,19,0.5,Very poor,Smartphone,3,1,8,1,0,2,Remain Constant,NO,Sleep,YES,YES
R202,Delhi-NCR,26,5,Average,Laptop/Desktop,10,1,8,1,0.5,2,Remain Constant,NO,Meditation,YES,YES
R203,Outside Delhi-NCR,20,3,Good,Laptop/Desktop,4,0,8,2,0,3,Remain Constant,NO,Cooking,YES,YES
R204,Delhi-NCR,24,7,Very poor,Laptop/Desktop,7,2,7,2,0,3,Remain Constant,NO,Reading books,YES,YES
R205,Delhi-NCR,21,0,Very poor,Laptop/Desktop,0,2,12,6,0,4,Increased,NO,Watching web series,NO,NO
R206,Delhi-NCR,20,5,Good,Smartphone,2.5,1,9,3,0.5,2,Remain Constant,NO,Dancing,YES,YES
R207,Delhi-NCR,16,7,Average,Tablet,4,1,7,1,0,3,Remain Constant,NO,Reading books,YES,YES
R208,Delhi-NCR,17,6,Average,Laptop/Desktop,1,0,7,2,0,2,Remain Constant,NO,Online gaming,YES,NO
R209,Delhi-NCR,59,3,Average,Smartphone,6,1,9,0.5,1,2,Increased,NO,Sleep,YES,YES
R210,Delhi-NCR,17,7,Good,Smartphone,4,0,7,1,1,2,Increased,NO,Listening to music,YES,NO
R211,Delhi-NCR,16,6,Very poor,Smartphone,5,0,7,2,0,3,Increased,NO,Online surfing,NO,YES
R212,Outside Delhi-NCR,20,3,Average,Laptop/Desktop,4,1,7,2,2,3,Remain Constant,NO,Talking to your relatives,YES,NO
R214,Delhi-NCR,17,6,Very poor,Smartphone,1.5,2,7,2,0.5,4,Increased,NO,Workout ,YES,NO
R215,Delhi-NCR,17,6,Average,Laptop/Desktop,5,0.5,7,1,1,2,Remain Constant,NO,Listening to music,NO,NO
R216,Delhi-NCR,20,3,Good,Laptop/Desktop,4,0,7,4,0,2,Remain Constant,YES,Social Media,YES,YES
R217,Outside Delhi-NCR,17,6,Average,Tablet,2,1,7,1,1,4,Remain Constant,NO,Reading books,NO,YES
R218,Delhi-NCR,20,4,Very poor,Smartphone,2,0,7,0.5,0.5,3,Increased,NO,Sleep,NO,NO
R219,Outside Delhi-NCR,16,8,Good,Laptop/Desktop,7,0,6,1,0.5,3,Remain Constant,NO,Social Media,NO,NO
R220,Delhi-NCR,19,0.5,Very poor,Smartphone,5,0.5,10,1,1,2,Remain Constant,YES,Meditation,YES,NO
R221,Delhi-NCR,20,0,Very poor,Laptop/Desktop,2,0,10,3,2,4,Increased,NO,Sleep,NO,YES
R222,Outside Delhi-NCR,22,4,Average,Laptop/Desktop,3,1,8,3,0,4,Increased,NO,Online gaming,YES,NO
R223,Outside Delhi-NCR,17,9,Poor,Laptop/Desktop,3,0,5,0.5,1,3,Remain Constant,NO,Listening to music,NO,NO
R224,Delhi-NCR,23,1,Very poor,Smartphone,8,2,8,2,2,3,Decreased,NO,Online gaming,YES,YES
R225,Outside Delhi-NCR,22,0,Very poor,Laptop/Desktop,3,0,10,8,0,2,Increased,YES,Watching web series,YES,YES
